,Unnamed: 0,Unnamed: 0.1,path_signal,path_target,path_signal_transformed,path_prediction,path_prediction_unpropped,mbp_file,tform,predicted_tform,pixel_error
20,20,20,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_020_1096225/Tile_r1-c1_S_020_109_flip_flip.tif,,20/signal_transformed.tiff,20/prediction.tiff,20/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0020_F0013_Z00.tif,-0.0352581408 -0.0890773417 0.0888750279 -0.0352016992 230.2803299123 1075.7435610638,-0.093010 -0.036731 0.036731 -0.093010 1362.208826 200.305781,170.03001029700013
21,21,21,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 4/S_021_1003190195/Tile_r2-c2_S_021_100319_flip_flip.tif,,21/signal_transformed.tiff,21/prediction.tiff,21/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0021_F0008_Z00.tif,0.0071115032 0.0976547093 -0.0974046786 0.0071373032 310.0063016453 740.4855170282,0.007759 0.099699 -0.099699 0.007759 311.954725 737.406911,1.172571690927991
22,22,22,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_022_975552340/Tile_r1-c2_S_022_97555_flip_flip.tif,,22/signal_transformed.tiff,22/prediction.tiff,22/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0022_F0013_Z00.tif,-0.0363126942 -0.0887319497 0.0883233501 -0.0361429330 178.9186820537 969.8990608566,-0.031730 -0.094832 0.094832 -0.031730 166.673575 971.922123,4.736726210105643
23,23,23,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_023_1171667608/Tile_r1-c1_S_023_117166_flip_flip.tif,,23/signal_transformed.tiff,23/prediction.tiff,23/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0023_F0015_Z00.tif,-0.0181099605 -0.0972697380 0.0972824851 -0.0179763680 611.8559487047 1533.9278694563,-0.019081 -0.098163 0.098163 -0.019081 612.688636 1533.932713,0.8918649515603273
24,24,24,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_024_1949453055/Tile_r1-c3_S_024_194945_flip_flip.tif,,24/signal_transformed.tiff,24/prediction.tiff,24/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0024_F0015_Z00.tif,-0.0181292071 -0.0973832809 0.0973622707 -0.0180267867 565.1054752686 1313.6675568264,-0.019081 -0.098163 0.098163 -0.019081 565.688636 1313.932713,0.8113826152091319
25,25,25,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 4/S_025_111389377/Tile_r1-c1_S_025_11138_flip_flip.tif,,25/signal_transformed.tiff,25/prediction.tiff,25/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0025_F0008_Z00.tif,0.0073673967 0.0974147140 -0.0972020904 0.0073820859 181.5734961972 613.7827038034,-0.033463 0.094235 -0.094235 -0.033463 1067.773438 89.420963,300.46306540249986
26,26,26,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_026_1770805695/Tile_r1-c2_S_026_177080_flip_flip.tif,,26/signal_transformed.tiff,26/prediction.tiff,26/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0026_F0010_Z00.tif,0.0106679314 0.0967645824 -0.0966437693 0.0104017498 479.4383542267 1413.1519719814,0.011234 0.099367 -0.099367 0.011234 480.100061 1411.049521,1.378388161153828
27,27,27,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_027_1192887092/Tile_r2-c3_S_027_119288_flip_flip.tif,,27/signal_transformed.tiff,27/prediction.tiff,27/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0027_F0007_Z00.tif,-0.0373129092 -0.0883743317 0.0881111759 -0.0371977344 1628.8095104790 846.4405051037,0.099750 0.007063 -0.007063 0.099750 1564.484314 944.890266,239.69277706760005
28,28,28,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_028_1890010957/Tile_r2-c3_S_028_189001_flip_flip.tif,,28/signal_transformed.tiff,28/prediction.tiff,28/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0028_F0015_Z00.tif,-0.0198314939 -0.0971733330 0.0970198234 -0.0197306190 472.1137364932 1319.2744169297,-0.020791 -0.097815 0.097815 -0.020791 473.232307 1319.954447,0.6724653803732646
29,29,29,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_029_405433916/Tile_r3-c3_S_029_40543_flip_flip.tif,,29/signal_transformed.tiff,29/prediction.tiff,29/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0029_F0007_Z00.tif,-0.0380069833 -0.0878489042 0.0876800282 -0.0379066937 1514.5566288131 915.3376640260,0.071934 -0.069466 0.069466 0.071934 1679.950137 1534.148893,949.0576766344004
